Date,Open,High,Low,Close
2024-11-04 09:00:00,100.0,103.25,97.67,101.67
2024-11-04 10:00:00,101.67,105.38,94.82,98.35
2024-11-04 11:00:00,98.35,104.82,95.59,103.06
2024-11-04 12:00:00,103.06,105.21,94.4,97.42
2024-11-04 13:00:00,97.42,99.51,88.28,91.73
2024-11-04 14:00:00,91.73,94.43,88.47,92.27
2024-11-04 15:00:00,92.27,97.51,88.36,95.99
2024-11-04 16:00:00,95.99,100.88,94.02,98.36
2024-11-04 17:00:00,98.36,106.36,96.59,103.85
2024-11-05 09:00:00,103.85,107.89,95.7,99.01
2024-11-05 10:00:00,99.01,106.39,95.9,102.7
2024-11-05 11:00:00,102.7,111.01,99.54,108.37
2024-11-05 12:00:00,108.37,115.68,104.29,112.33
2024-11-05 13:00:00,112.33,116.87,110.69,113.26
2024-11-05 14:00:00,113.26,115.62,108.25,109.99
2024-11-05 15:00:00,109.99,111.79,104.45,106.78
2024-11-05 16:00:00,106.78,111.01,104.17,108.41
2024-11-05 17:00:00,108.41,110.71,100.62,104.93
2024-11-06 09:00:00,104.93,110.03,102.91,106.7
2024-11-06 10:00:00,106.7,111.44,104.06,109.45
2024-11-06 11:00:00,109.45,118.75,106.28,115.33
2024-11-06 12:00:00,115.33,121.57,111.5,117.54
2024-11-06 13:00:00,117.54,119.14,111.84,114.29
2024-11-06 14:00:00,114.29,116.42,107.17,111.5
2024-11-06 15:00:00,111.5,118.46,108.04,116.02
2024-11-06 16:00:00,116.02,120.26,111.89,114.77
2024-11-06 17:00:00,114.77,117.01,108.76,111.95
2024-11-07 09:00:00,111.95,115.2,104.9,109.1
2024-11-07 10:00:00,109.1,111.26,103.4,107.89
2024-11-07 11:00:00,107.89,109.78,106.25,108.01
2024-11-07 12:00:00,108.01,111.39,99.44,103.32
2024-11-07 13:00:00,103.32,105.01,99.74,102.39
2024-11-07 14:00:00,102.39,111.43,97.97,108.34
2024-11-07 15:00:00,108.34,114.2,104.68,112.67
2024-11-07 16:00:00,112.67,117.96,110.37,114.85
2024-11-07 17:00:00,114.85,118.38,112.05,116.54
2024-11-08 09:00:00,116.54,120.9,111.86,115.99
2024-11-08 10:00:00,115.99,118.99,111.11,113.15
2024-11-08 11:00:00,113.15,122.21,110.75,118.1
2024-11-08 12:00:00,118.1,123.09,116.14,119.77
2024-11-08 13:00:00,119.77,126.03,115.93,122.92
2024-11-08 14:00:00,122.92,124.78,120.44,123.28
2024-11-08 15:00:00,123.28,127.57,113.38,117.51
2024-11-08 16:00:00,117.51,123.92,115.84,121.49
2024-11-08 17:00:00,121.49,130.0,119.74,126.03
